Задание: Расчёт значения ряда в точке. ui(x) = (-1)^i*2^(2i)*(i!)^2*x^(2i+1)/(2i+1)!
Автор: Николаев Всеволод Юрьевич    Группа: 2302       Версия: 1
Дата начала: 12.10.2022             Дата окончания:
eps = 0.00000000000000100000
x = 0.99899999999999999911
===========================================================
|  i  |            u            |            s            |
| 196 | -0.04283509896159194003 | +0.60166778704834933400 |
| 197 | +0.04264069431734591326 | +0.64430848136569529583 |
| 198 | -0.04244772023885007989 | +0.60186076112684516737 |
| 199 | +0.04225615977192110490 | +0.64411692089876626532 |
| 200 | -0.04206599625062090037 | +0.60205092464814535802 |
| 201 | +0.04187721329088868460 | +0.64392813793903402875 |
| 202 | -0.04168979478434521602 | +0.60223834315468882661 |
| 203 | +0.04150372489226372696 | +0.64374206804695255357 |
| 204 | -0.04131898803970236039 | +0.60242308000725020012 |
| 205 | +0.04113556890979287728 | +0.64355864891704306352 |
| 206 | -0.04095345243818078462 | +0.60260519647886223726 |
| 207 | +0.04077262380761217248 | +0.64337782028647438892 |
| 208 | -0.04059306844266263176 | +0.60278475184381175023 |
| 209 | +0.04041477200460391606 | +0.64319952384841561077 |
| 210 | -0.04023772038640402449 | +0.60296180346201155853 |
| 211 | +0.04006189970785670185 | +0.64302370316986823262 |
| 212 | -0.03988729631083634541 | +0.60313640685903191496 |
| 213 | +0.03971389675467448810 | +0.64285030361370643082 |
| 214 | -0.03954168781165425667 | +0.60330861580205219497 |
| 215 | +0.03937065646261918295 | +0.64267927226467136403 |
| 216 | -0.03920078989269298875 | +0.60347848237197831978 |
| 217 | +0.03903207548710697222 | +0.64251055785908528506 |
| 218 | -0.03886450082713190091 | +0.60364605703195339803 |
| 219 | +0.03869805368611124036 | +0.64234411071806463145 |
| 220 | -0.03853272202559272080 | +0.60381138869247186207 |
| 221 | +0.03836849399155548707 | +0.64217988268402736995 |
| 222 | -0.03820535791072987575 | +0.60397452477329749421 |
| 223 | +0.03804330228700730787 | +0.64201782706030474657 |
| 224 | -0.03788231579793751441 | +0.60413551126236719746 |
| 225 | +0.03772238729131075635 | +0.64185789855367791912 |
| 226 | -0.03756350578182249267 | +0.60429439277185537094 |
| 227 | +0.03740566044781813010 | +0.64170005321967349410 |
